theta,x
beta_hm_1,2.875777566
beta_hm_2,-1.885483252
beta_hm_3,1.772564022
beta_hm_4,5.278823783
sigma_hm,1.330751874
eta_hm_HAM,0
eta_hm_TBR,0
eta_hm_TEL,0
eta_hm_TSA,0
eta_hm_TZD,0
eta_hm_AGD,-0.326529739
eta_hm_AGU,-0.048691156
eta_hm_AMT,1.281280246
eta_hm_Askov,0.640719659
eta_hm_Asturias,2.649400789
eta_hm_BadLauchstadt,-2.300707346
eta_hm_BEL,0.268163465
eta_hm_Bozod,-0.227184838
eta_hm_Decrue,2.262009358
eta_hm_ICARDA,-3.654231728
eta_hm_IDA,2.569328019
eta_hm_ISS,-1.283559742
eta_hm_Kastomanu,-0.95843658
eta_hm_MON,-0.384949405
eta_hm_OMA,1.806544737
eta_hm_Provence,0.17966741
eta_hm_Rothamsted,0.497670835
eta_hm_SuttonBonington,-0.13706228
eta_hm_WIH,-2.833431704
sigma_hm_eta,1.90455156
v,2.64283088
